Name,Component,Pin
SYS_RESETn,P2,15
SYS_RESETn,C30,1
SYS_RESETn,U14,19
SYS_RESETn,S1,2
SYS_RESETn,S1,4
SYS_RESETn,U5,A10
SYS_RESETn,U16,4
SYS_RESETn,R14,2
SYS_RESETn,C24,1
SYS_RESETn,P9,10
RXN,U14,30
RXN,C138,1
RXN,P5,2
RXN,R121,1
LCD_DATA7,R88,1
LCD_DATA7,R63,2
LCD_DATA7,U11,3
LCD_DATA7,C161,1
LCD_DATA7,U5,T4
LCD_DATA7,P8,40
DGND,C94,2
DGND,C19,2
DGND,C46,2
DGND,C42,2
DGND,C47,2
DGND,C50,2
DGND,C44,2
DGND,C54,2
DGND,C55,1
DGND,C45,2
DGND,C52,2
DGND,C43,2
DGND,C40,1
DGND,C51,2
DGND,C39,1
DGND,C48,2
DGND,C41,2
DGND,C53,2
DGND,C49,2
DGND,Q2,1
DGND,U16,3
DGND,C12,1
DGND,C9,1
DGND,C11,1
DGND,C141,2
DGND,R78,2
DGND,P9,1
DGND,P8,1
DGND,C96,1
DGND,C102,2
DGND,C103,2
DGND,C97,2
DGND,C100,2
DGND,C99,2
DGND,C101,2
DGND,C98,2
DGND,C95,1
DGND,R77,2
DGND,C36,2
DGND,U10,4
DGND,P6,13
DGND,P6,16
DGND,P6,4
DGND,P6,7
DGND,P6,10
DGND,R145,2
DGND,R99,1
DGND,U8,1
DGND,U6,4
DGND,C147,2
DGND,C151,2
DGND,U11,19
DGND,U11,65
DGND,C149,2
DGND,C145,2
DGND,R149,2
DGND,C150,2
DGND,C146,2
DGND,C144,2
DGND,C148,2
DGND,C138,2
DGND,U12,A9
DGND,U12,B3
DGND,U12,E1
DGND,U12,G8
DGND,U12,D8
DGND,U12,D1
DGND,U12,B9
DGND,U12,B1
DGND,U12,E2
DGND,U12,E8
DGND,U12,F9
DGND,U12,G1
DGND,U12,G9
DGND,U12,J2
DGND,U12,J8
DGND,U12,M1
DGND,U12,M9
DGND,U12,P1
DGND,U12,P9
DGND,U12,T1
DGND,U12,T9
DGND,C15,1
DGND,C67,2
DGND,C74,1
DGND,C76,1
DGND,C71,1
DGND,C69,1
DGND,C73,1
DGND,C72,1
DGND,C70,1
DGND,C68,1
DGND,C75,1
DGND,C66,2
DGND,C77,2
DGND,C142,2
DGND,S2,2
DGND,S2,4
DGND,R165,2
DGND,C1,1
DGND,C24,2
DGND,U2,41
DGND,U2,30
DGND,U2,49
DGND,R53,2
DGND,U3,3
DGND,C131,2
DGND,C91,2
DGND,C89,2
DGND,C87,2
DGND,C88,2
DGND,C90,2
DGND,C86,2
DGND,P2,4
DGND,R144,2
DGND,R12,1
DGND,C60,1
DGND,C58,2
DGND,C59,2
DGND,C61,1
DGND,R49,1
DGND,D6,8
DGND,D6,3
DGND,C135,2
DGND,C130,2
DGND,C127,2
DGND,C126,1
DGND,C129,2
DGND,C128,2
DGND,C28,2
DGND,P2,8
DGND,P2,10
DGND,P2,12
DGND,P2,16
DGND,P2,20
DGND,Q1,4
DGND,C133,1
DGND,C14,1
DGND,C143,2
DGND,C132,2
DGND,R164,2
DGND,P8,2
DGND,C64,2
DGND,C63,2
DGND,C65,2
DGND,C62,1
DGND,C2,1
DGND,TP8,1
DGND,U4,5
DGND,U4,7
DGND,S1,1
DGND,S1,3
DGND,S3,1
DGND,S3,3
DGND,C18,2
DGND,C171,2
DGND,C160,2
DGND,C167,2
DGND,C163,2
DGND,C162,2
DGND,C172,2
DGND,C165,2
DGND,C156,2
DGND,C168,2
DGND,C170,2
DGND,C157,2
DGND,C166,2
DGND,C161,2
DGND,C164,2
DGND,C169,2
DGND,C173,2
DGND,Y4,2
DGND,U4,6
DGND,U4,8
DGND,U5,N14
DGND,U5,M14
DGND,C124,2
DGND,C139,2
DGND,D7,8
DGND,D7,3
DGND,C158,2
DGND,R10,2
DGND,C92,2
DGND,C29,2
DGND,R76,2
DGND,R87,2
DGND,R94,2
